#{"t_start": 1745328176.835186, "env_id": "None"}
r,l,t
702.649835,38,97.419882
588.103503,30,97.562426
606.257845,37,97.735303
475.889502,28,97.862803
821.059461,48,98.059801
559.436179,29,98.188917
851.464161,38,98.347737
393.178432,31,98.509322
551.359338,38,98.698397
530.619686,34,98.862949
989.202818,49,99.10071
667.734913,34,99.260394
395.367949,26,99.392039
711.126854,45,99.619123
540.4381,49,99.823927
223.0,26,100.604688
667.512488,39,100.805083
554.916843,33,100.94562
419.784472,26,101.068348
695.116755,39,101.244997
430.776738,22,101.359098
558.298635,32,101.498864
841.165772,43,101.702278
370.167594,30,101.848703
531.934036,33,101.99488
541.164639,34,102.136934
609.347061,33,102.284459
500.263116,28,102.405684
573.923484,45,102.60472
786.310705,36,102.76389
426.336026,32,102.917285
818.012129,40,103.085173
497.571595,36,103.243372
489.816592,28,103.361313
478.27957,30,103.488838
1588.669747,60,103.73936
576.517021,28,103.872898
880.518498,40,104.040959
413.853096,29,104.171917
576.607715,33,104.314479
435.910193,33,104.456176
620.322134,36,104.610723
455.087591,34,104.756778
659.486517,49,104.9711
479.622543,36,105.135162
847.741022,39,105.335557
1589.454269,69,105.619555
611.11237,35,105.771868
790.545948,40,105.950403
372.586679,25,106.075587
474.524164,29,106.196598
412.923198,26,106.317952
274.914971,35,110.484501
578.977634,41,110.68104
1018.879896,46,110.878695
691.028277,37,111.043127
646.384551,35,111.192626
1093.859648,50,111.403452
494.42741,30,111.537025
1102.052663,51,111.758045
1245.939554,48,111.958505
937.288536,48,112.15628
1004.182472,47,112.348951
921.180876,49,112.546739
680.539386,38,112.721732
395.046653,30,112.854477
946.227548,39,113.036909
586.582393,30,113.172118
2428.683374,88,113.505323
765.189763,44,113.687258
1010.811557,47,113.892719
830.719001,46,114.112689
630.833046,32,114.269206
1514.947751,63,114.555565
628.637322,34,114.705549
368.634908,36,114.876771
1203.642219,49,115.106366
315.459776,23,115.226014
717.695532,37,115.389145
851.464407,44,115.57686
742.027095,40,115.760491
475.478496,29,115.896955
1235.152076,55,116.13201
500.219469,30,116.267713
991.422779,44,116.461549
742.219666,38,116.618885
400.833588,30,116.748742
367.573437,47,116.951797
595.619095,35,117.11536
599.94847,33,117.264023
609.037637,38,117.44439
670.077689,45,117.635423
1171.429824,46,117.835188
1097.595162,56,118.056304
907.887581,50,118.265967
666.460811,36,118.423105
827.66688,43,118.613605
1089.557318,49,118.829578
757.326716,47,119.053326
738.262525,44,119.237157
806.890034,43,122.538851
521.1164,39,122.721832
664.648219,37,122.890267
631.498448,32,123.038277
1079.093059,50,124.056063
698.17996,35,124.239514
470.517001,27,124.386562
782.805508,41,124.573896
984.45884,42,124.777047
683.402286,33,124.93494
446.943593,28,125.070955
581.057293,36,125.239732
473.136361,29,125.375493
861.848318,42,125.558599
1062.248761,45,125.750243
918.208286,39,125.94276
1111.540766,50,126.159645
547.707473,30,126.308696
535.74383,36,126.474509
1458.111138,60,126.723761
1149.921819,51,126.946733
343.435145,26,127.074478
973.969949,41,127.252737
1402.227036,56,127.470983
523.406276,37,127.636854
353.452663,38,127.81253
901.41268,43,128.023615
732.267205,41,128.22661
587.176442,32,128.381065
413.471452,29,128.517254
1053.361693,49,128.741796
1591.37859,63,129.035766
423.014681,34,129.193729
810.138322,49,129.414722
324.6221,24,129.536784
824.139711,42,129.712723
535.553081,32,129.870904
370.089364,30,130.025603
526.895906,39,130.20408
774.030839,42,130.411767
542.459037,39,138.630361
517.680625,30,138.762093
427.673383,25,138.866939
326.648259,29,138.994836
734.731386,43,139.186455
516.676634,31,139.356603
1205.341544,53,139.570357
388.136322,32,139.734133
443.522932,30,139.90496
498.472437,28,140.047849
816.385093,36,140.21993
580.416523,37,140.412708
972.273856,43,140.609195
1061.67092,52,140.830492
788.404453,37,144.255603
755.48091,44,144.46064
739.439283,39,144.654267
1050.32238,47,144.872721
682.626987,46,145.096686
560.044386,30,145.259906
1153.249323,49,146.166657
501.868368,33,146.316375
1135.027243,56,146.553976
582.301,38,146.741624
559.500025,31,146.889682
1670.181841,71,147.172429
936.412877,48,147.392241
594.568412,33,147.545647
1508.410119,64,147.806469
1003.601409,47,148.016667
633.733189,36,148.178382
680.697818,39,148.339929
604.695926,37,148.513515
908.535189,47,148.717294
778.008128,39,148.908579
483.515237,33,149.055176
575.242376,41,149.232508
565.744244,33,149.379058
545.038219,29,149.519591
568.501108,34,149.690607
929.072575,50,149.945084
752.656387,37,150.128266
949.616089,47,150.372675
487.276023,39,150.572204
664.64613,32,150.725022
896.341987,41,150.912499
1328.510616,58,151.175333
533.422829,34,151.339145
577.389921,36,151.505273
525.206444,54,151.739606
1608.067826,59,152.000522
802.981477,39,152.207229
659.319178,43,152.427864
564.67422,34,152.597605
889.002118,46,152.836309
440.384354,32,153.03547
610.92645,35,153.230456
469.942559,30,153.4061
696.521208,35,153.614515
605.428001,35,153.837833
772.802207,40,154.078768
687.630425,37,154.290093
923.287699,41,154.493674
846.418592,37,154.669453
651.530026,37,158.318028
504.887285,31,158.461088
1171.015222,49,158.66874
1269.990788,55,158.915504
2474.509434,81,159.22686
450.839253,33,159.379194
1399.581635,56,159.635273
730.638061,39,159.823627
1318.296359,55,160.045585
975.382876,44,160.244362
680.569831,39,160.408195
710.684418,36,160.565368
772.566924,47,160.764001
1183.847795,46,160.976264
983.289768,40,161.157885
1142.526282,53,161.400092
965.59599,46,161.613957
1167.345436,51,161.846539
924.305286,46,162.055297
1343.40064,53,162.26451
1580.884891,62,162.542245
528.3679,33,162.701517
1398.707227,64,162.947575
586.067787,34,163.085057
930.99529,48,163.299591
265.069905,31,163.449139
1273.971427,54,163.668726
1271.541406,52,163.883299
1450.291541,53,164.110594
758.682989,40,164.286341
448.23277,31,164.428312
1262.345042,52,164.670318
585.008966,30,164.808686
767.899552,39,164.971381
2353.504636,77,165.305104
629.587142,34,165.469018
792.173999,49,165.681694
1087.452929,44,165.886507
497.828189,33,166.041656
845.858564,47,166.240234
773.290753,42,166.435219
965.897621,53,166.655784
707.611754,34,166.802328
1552.494803,57,167.029426
1652.186561,64,170.51896
1068.448219,61,170.778556
917.139495,57,171.010635
823.196187,47,171.218925
643.689078,41,171.396291
655.481403,36,171.558547
1990.809843,79,171.894805
391.740184,29,172.023552
840.905857,36,172.190828
719.141327,47,172.383585
1096.890684,63,172.643243
1272.347278,57,172.89602
967.519592,40,173.058427
1000.379477,54,173.300186
1389.082713,59,173.542132
627.12439,52,174.451633
1225.372531,49,174.65575
870.308488,40,174.851429
629.191803,44,175.062032
731.715956,39,175.241032
1402.358047,63,175.517005
2139.613676,77,175.855215
1131.557761,48,176.073069
1009.94049,47,176.26952
926.121425,43,176.461555
507.281314,34,176.621826
1628.076102,70,176.944608
575.218878,38,177.123932
731.4649,37,177.275143
1166.311198,55,177.496913
1152.734657,47,177.689642
1045.314104,50,177.884282
908.489482,46,178.084137
942.489778,49,178.287305
1202.975546,61,178.526164
525.855264,35,178.68292
761.152027,41,178.859172
2189.370294,91,179.219036
666.118429,47,179.449711
852.786689,40,179.621773
1682.267195,72,183.455805
1781.991783,73,183.759774
900.399108,43,183.944843
2263.996384,85,184.263605
1256.846249,64,184.529257
918.051431,40,184.722937
733.050446,36,184.902485
1083.472536,46,185.127584
629.2308,38,185.300194
480.07493,31,185.425728
838.180551,38,185.590809
1524.808414,60,185.835865
1457.178905,55,186.046852
553.138972,31,186.170526
918.538746,44,186.348869
678.290458,37,186.516585
2484.527474,84,186.85791
1112.324351,43,187.032187
1125.075619,51,187.240669
709.325484,36,187.390729
341.067688,24,187.501198
1854.974777,69,187.75988
731.528302,40,187.913847
407.960885,28,188.050486
764.816444,42,188.233297
1680.838711,70,188.519798
734.501256,39,188.69532
377.014483,26,188.813073
846.036701,39,188.967727
703.077886,40,189.12833
890.545899,52,189.329451
1391.634898,55,189.557524
1332.751259,59,189.772605
2080.901611,77,190.060622
453.610592,35,190.209694
1037.154569,51,190.419759
1402.984334,54,191.395078
1035.361102,46,191.59307
632.856574,36,191.754563
1250.384482,58,192.031048
1306.837233,63,192.313679
1150.862949,56,192.558137
876.720479,49,196.043068
1023.77792,45,196.240798
948.834622,52,196.487821
1532.550273,61,196.736978
1458.283314,59,196.986146
595.576777,37,197.145488
1406.167496,59,197.393552
2087.934558,77,197.69426
1245.32977,52,197.917318
2042.914203,73,198.220533
2799.854623,91,198.592681
642.317356,41,198.761961
2126.107503,75,199.068039
433.148037,28,199.196578
1062.231272,53,199.413978
1473.378728,63,199.661129
1338.013695,51,199.867829
1182.72979,52,200.111681
1869.524952,70,200.402594
2067.763082,77,200.716279
1277.178629,60,200.959239
937.03543,55,201.205232
983.722055,44,201.424428
1700.496359,72,207.013857
661.075176,38,207.186266
657.919651,38,207.335362
625.002793,30,207.455061
1996.135741,67,207.716723
978.443027,47,207.907001
2642.682595,96,208.30396
1906.791872,66,208.609411
828.2642,43,208.809333
895.79261,50,209.011631
1215.12311,54,209.230681
1080.956195,50,209.439899
1724.986827,64,209.723681
718.645106,41,209.897398
880.910932,41,214.055143
2562.473206,93,214.367821
2131.83145,78,214.66097
2226.873629,77,214.905704
1401.365722,62,215.149926
1573.472171,69,215.444829
1764.006946,66,215.727969
1008.466279,40,215.898759
1903.875117,73,216.180768
1685.807626,65,216.469677
1100.370954,49,216.708773
972.915227,48,216.919562
1687.228287,67,217.189159
897.702793,43,217.372817
1547.633874,60,217.622197
1146.798167,49,217.795779
1293.982048,51,217.985273
886.749741,39,218.166744
1695.365624,61,218.398432
1484.760087,66,219.355255
896.764767,62,219.615135
1561.650554,68,219.888385
871.833342,44,220.066269
1121.113946,49,220.266628
1824.754146,62,220.536253
1197.832061,51,220.762376
1575.450485,60,221.00952
1049.750135,50,221.20315
622.597123,30,221.327395
2098.548214,69,221.601276
891.445293,38,221.77757
2082.759466,73,222.049747
1003.814927,50,222.263829
1317.761102,54,222.449437
2104.048387,73,222.720238
915.115966,61,226.462023
1003.159466,46,226.678192
1545.071531,57,226.893938
1743.523868,66,227.216065
1742.520962,70,227.49555
1591.370481,73,227.787055
1535.015942,58,228.032921
572.999754,36,228.182768
557.60599,29,228.323527
360.445559,33,228.471199
356.724962,29,228.612109
2495.044475,88,228.896166
1873.764353,66,229.167778
984.169614,45,229.354511
674.67025,43,229.529409
898.35184,45,229.733718
1335.04079,53,229.95539
1448.379477,60,230.194982
1165.311592,51,230.436792
283.192965,22,230.52891
2034.225991,88,230.826652
861.943741,40,230.977234
432.258978,30,231.091564
1494.09629,58,231.282267
1491.634218,57,231.535045
791.923986,40,231.688462
664.339376,33,231.849303
2503.606473,85,232.209095
1146.039519,52,232.41551
1272.133484,57,232.641958
1256.879452,52,232.815639
1429.192453,55,233.029754
885.62343,43,233.219819
2907.579142,99,233.591406
796.505542,36,233.744038
2539.84749,87,234.07735
692.973299,34,234.22441
1090.346027,51,234.437
1361.264693,54,237.991524
2731.531435,104,238.400864
3629.301296,124,238.910415
1138.278142,49,239.139996
2827.74316,97,239.517164
2935.619627,98,239.910346
1547.232228,61,240.161976
2065.585891,71,240.443576
1014.223016,44,240.635923
2037.057303,77,241.038595
741.149909,35,241.248235
723.56988,35,241.44229
634.435391,34,241.642789
957.048623,46,241.911391
819.015814,51,242.1581
704.32711,36,242.345579
562.628248,33,242.528188
1471.235332,65,242.808244
2499.346076,82,243.146547
1906.039036,79,243.488829
1665.045076,61,243.752302
2489.274211,83,244.116356
1954.417065,71,244.648671
1218.190009,56,244.94896
1727.439041,60,245.293577
1656.997586,62,245.665102
1217.615203,56,245.980747
2233.210316,84,246.441426
1969.648298,74,246.801162
458.596384,31,246.965639
679.36184,46,247.222241
927.081383,42,247.429873
1192.616385,52,247.663494
607.109217,39,251.027367
2531.95182,84,251.386251
822.248879,40,251.566384
498.213311,26,251.695571
1935.756855,73,252.006735
916.670575,44,252.201024
718.386719,35,252.36441
2412.645204,78,252.698838
1434.568432,59,252.963537
1674.870072,63,253.221878
2353.087985,81,253.555212
2224.119957,74,253.864038
2685.420622,100,254.275657
880.650032,53,254.519182
710.528499,36,254.684361
894.655067,53,254.927444
3095.17392,109,255.422811
2665.815557,92,255.819266
2234.015754,76,256.138269
3374.199645,116,256.595018
1332.556589,59,256.814956
1564.937623,63,257.077309
2722.957367,91,257.46718
3700.588492,116,257.933787
2875.271836,100,258.314871
1774.623075,68,258.569528
1371.850751,55,258.816685
2277.88363,80,259.149004
3308.552579,106,259.6009
1935.21809,74,263.03583
2183.778708,84,263.404465
739.386935,37,263.585532
733.64546,47,263.804255
1091.157643,43,264.003332
1184.581112,56,264.24457
3632.384167,105,264.668009
636.711907,37,264.837249
962.781103,54,265.066968
871.903148,38,265.240578
1308.727208,53,265.468871
2914.09365,92,265.841601
588.017045,36,265.997008
795.610769,40,266.167997
2992.972905,92,266.544842
2229.865461,78,266.895201
856.818365,37,267.043984
1888.468545,70,267.340502
608.154786,31,267.496376
739.110843,41,273.865341
1236.48297,60,274.109056
862.709444,40,274.281292
1622.792305,65,274.552108
688.12109,37,275.446305
1325.844938,48,275.67431
1364.042071,65,275.972252
1018.737228,48,276.191789
2602.788413,91,276.57547
1040.062308,54,276.831957
1291.656781,52,277.069783
773.349032,37,277.239863
763.345633,41,277.442446
2593.787733,88,277.796387
1543.284152,62,278.056834
1685.799626,64,278.322997
1549.807813,65,278.592347
1758.492261,69,282.304645
4278.910695,127,282.847062
1156.749002,53,283.067362
1636.079659,62,283.335154
2213.478329,78,283.652039
422.605646,23,283.765924
1162.764126,47,283.956086
451.191142,32,284.090519
1331.909503,50,284.30418
870.130992,46,284.510712
1157.40002,52,284.720441
2902.332667,97,285.108268
3683.239687,109,285.603126
1240.005606,50,285.818655
812.71102,38,285.998513
2427.119464,82,286.340343
1139.250988,49,286.543936
885.055894,48,286.763278
1203.741524,50,286.974807
1875.799399,72,287.269723
1702.156244,66,287.531992
1720.338233,76,287.83103
775.607744,42,288.015521
694.310015,38,288.178016
2076.301975,70,288.466612
2217.92039,83,288.789683
1468.124784,60,289.053247
1328.571752,51,289.272834
895.964826,43,289.463022
3025.824228,98,289.894974
1979.758018,72,290.194738
2038.435677,71,290.550706
3100.273836,100,294.988375
2610.699187,89,295.43301
1116.797034,47,295.684591
3805.023893,113,296.163385
2981.204404,101,296.620522
2883.983201,86,297.006297
3318.706695,122,297.539232
